?||cam1|3|2025-08-21 07:01:32
?||cam2|0|2025-08-21 07:01:33
?||cam3|0|2025-08-21 07:01:33
?||cam4|0|2025-08-21 07:01:33
?||cam5|0|2025-08-21 07:01:33
?||cam1|0|2025-08-21 07:40:10
?||cam2|0|2025-08-21 07:40:10
?||cam3|0|2025-08-21 07:40:10
?||cam4|0|2025-08-21 07:40:10
?||cam5|0|2025-08-21 07:40:10
?||cam1|0|2025-08-21 08:02:16
?||cam2|0|2025-08-21 08:02:16
?||cam3|0|2025-08-21 08:02:17
?||cam4|0|2025-08-21 08:02:17
?||cam5|0|2025-08-21 08:02:17
?||cam1|0|2025-08-21 11:09:36
?||cam2|0|2025-08-21 11:09:36
?||cam3|0|2025-08-21 11:09:36
?||cam4|0|2025-08-21 11:09:36
?||cam5|0|2025-08-21 11:09:37
?||cam1|0|2025-08-21 14:30:06
?||cam2|0|2025-08-21 14:30:06
?||cam3|0|2025-08-21 14:30:06
?||cam4|0|2025-08-21 14:30:06
?||cam5|0|2025-08-21 14:30:06
?||cam3|3|2025-08-22 15:37:51
?||cam2|3|2025-08-22 20:32:27
?||cam1|3|2025-08-22 20:57:42
?||cam2|2|2025-08-23 11:19:27
?||cam1|2|2025-08-23 15:15:35
?||cam1|2|2025-08-23 15:16:10
?||cam1|2|2025-08-23 15:19:11
?||cam1|1|2025-08-23 16:50:39
?||cam1|2|2025-08-23 19:08:28
?||cam1|0|2025-08-23 19:13:12
?||cam1|0|2025-08-23 19:16:28
?||cam2|0|2025-08-23 19:32:14
?||cam2|0|2025-08-23 20:19:45
?||cam1|1|2025-08-25 21:25:59
?||cam1|0|2025-08-25 21:26:59
?||cam1|0|2025-08-25 21:38:51
?||cam1|0|2025-08-25 21:38:55
?||cam1|0|2025-08-25 21:39:07
?||cam2|2|2025-08-26 01:40:36
?||cam5|2|2025-08-26 01:41:43
?||cam1|2|2025-08-26 03:44:43
?||cam2|2|2025-08-26 03:45:30
?||cam3|2|2025-08-26 03:46:16
?||cam4|2|2025-08-26 03:46:48
?||cam5|2|2025-08-26 03:47:06
